item_name,info_json
Beef Recipes,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""French"",""Ingredients"": [""beef"", ""butter"", ""onions"", ""garlic"", ""thyme"", ""rosemary"", ""salt"", ""pepper""],""Preparation Time"": 45}"
Beef Stews,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""French"",""Ingredients"": [""beef"", ""onions"", ""carrots"", ""potatoes"", ""thyme"", ""bay leaves"", ""red wine""],""Preparation Time"": 40}"
Beef Stroganoff,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Russian"",""Ingredients"": [""beef strips"", ""mushrooms"", ""onions"", ""garlic"", ""all-purpose flour"", ""butter"", ""beef broth"", ""mustard"", ""sour cream"", ""dill"", ""paprika"", ""salt"", ""black pepper""],""Preparation Time"": 30}"
Beef Tenderloin,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""French"",""Ingredients"": [""beef tenderloin"", ""butter"", ""garlic"", ""thyme"", ""rosemary"", ""salt"", ""black pepper""],""Preparation Time"": 45}"
Biscotti,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Italian"",""Ingredients"": [""almonds"", ""butter"", ""eggs"", ""flour"", ""sugar"", ""vanilla""],""Preparation Time"": 40}"
Biscuits,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""British"",""Ingredients"": [""flour"", ""butter"", ""eggs"", ""milk"", ""salt""],""Preparation Time"": 20}"
Blintzes,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Eastern European"",""Ingredients"": [""flour"", ""eggs"", ""milk"", ""sugar"", ""butter"", ""cheese"", ""fruit""],""Preparation Time"": 40}"
Blondies,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""butter"", ""sugar"", ""eggs"", ""flour"", ""chocolate chips"", ""walnuts""],""Preparation Time"": 25}"
Bloody Marys,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""vodka"", ""tomato juice"", ""horseradish"", ""hot sauce"", ""lemon juice"", ""garlic"", ""salt"", ""pepper"", ""celery""],""Preparation Time"": 10}"
Blueberry Pie,"{""Dietary Category"": ""Non-Veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""Blueberries"", ""Sugar"", ""Flour"", ""Butter"", ""Eggs""],""Preparation Time"": 40}"
Borscht,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""Russian"",""Ingredients"": [""beets"", ""vegetable broth"", ""onions"", ""carrots"", ""cabbage"", ""tomatoes"", ""sour cream"", ""dill"", ""black pepper""],""Preparation Time"": 40}"
Breads,"{""Dietary Category"": ""Veg"",""Specific Cuisine"": ""Italian"",""Ingredients"": [""flour"", ""yeast"", ""water"", ""salt"", ""sugar""],""Preparation Time"": 40}"
Breakfast and Brunch,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""eggs"", ""bacon"", ""sausages"", ""cheese"", ""bread"", ""milk"", ""butter""],""Preparation Time"": 20}"
Breakfast Burritos,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Mexican"",""Ingredients"": [""scrambled eggs"", ""chopped sausage"", ""shredded cheese"", ""canned black beans"", ""diced tomatoes"", ""tortilla""],""Preparation Time"": 20}"
Breakfast Casseroles,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""eggs"", ""sausages"", ""bread"", ""cheese"", ""milk""],""Preparation Time"": 40}"
Breakfast Potatoes,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""potatoes"", ""olive oil"", ""salt"", ""pepper"", ""garlic powder"", ""paprika""],""Preparation Time"": 20}"
Breakfast Stratas,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""French"",""Ingredients"": [""bread"", ""eggs"", ""milk"", ""butter"", ""cheese"", ""ham"", ""mushrooms"", ""spinach""],""Preparation Time"": 40}"
Brines,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""pork"", ""salt"", ""sugar"", ""water"", ""spices""],""Preparation Time"": 30}"
Broccoli Salads,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""broccoli"", ""onions"", ""mayonnaise"", ""vinegar"", ""sugar"", ""salt""],""Preparation Time"": 20}"
Brownies,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""chocolate"", ""flour"", ""sugar"", ""eggs"", ""butter""],""Preparation Time"": 30}"
Bruschetta,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""Italian"",""Ingredients"": [""bread"", ""tomatoes"", ""basil"", ""mozzarella"", ""olive oil"", ""balsamic vinegar"", ""garlic"", ""salt"", ""pepper""],""Preparation Time"": 20}"
Buffalo Chicken Dips,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""chicken"", ""cream cheese"", ""hot sauce"", ""shredded cheese"", ""onion"", ""garlic""],""Preparation Time"": 20}"
Buffalo Chicken Wings,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""chicken wings"", ""hot sauce"", ""butter"", ""vinegar"", ""garlic"", ""salt"", ""pepper""],""Preparation Time"": 30}"
Bulgogi,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Korean"",""Ingredients"": [""thinly sliced beef"", ""soy sauce"", ""sugar"", ""garlic"", ""sesame oil"", ""ginger"", ""black pepper""],""Preparation Time"": 30}"
Burgers,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""beef patty"", ""buns"", ""cheese"", ""lettuce"", ""tomato"", ""onions"", ""mayonnaise"", ""ketchup""],""Preparation Time"": 20}"
Burritos,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Mexican"",""Ingredients"": [""tortilla"", ""beans"", ""cheese"", ""meat"", ""vegetables"", ""salsa""],""Preparation Time"": 20}"
Butternut Squash Soups,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""butternut squash"", ""onion"", ""garlic"", ""carrots"", ""celery"", ""chicken broth"", ""coconut milk"", ""salt"", ""pepper"", ""nutmeg""],""Preparation Time"": 40}"
Cabbage Rolls,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Eastern European"",""Ingredients"": [""cabbage"", ""ground beef"", ""onion"", ""rice"", ""tomato paste"", ""paprika"", ""salt"", ""black pepper""],""Preparation Time"": 40}"
Cakes,"{""Dietary Category"": ""Non-Veg"",""Specific Cuisine"": ""Western"",""Ingredients"": [""flour"", ""sugar"", ""eggs"", ""butter"", ""milk""],""Preparation Time"": 40}"
Calzones,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Italian"",""Ingredients"": [""flour"", ""yeast"", ""olive oil"", ""ricotta cheese"", ""mozzarella cheese"", ""pepperoni"", ""tomato sauce"", ""salt"", ""sugar""],""Preparation Time"": 40}"
Camping Recipes,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""beans"", ""ground beef"", ""onions"", ""garlic"", ""tomato sauce"", ""salt"", ""pepper""],""Preparation Time"": 30}"
Canning and Preserving,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""fruits"", ""vegetables"", ""salt"", ""sugar"", ""vinegar""],""Preparation Time"": 40}"
Carrot Cakes,"{""Dietary Category"": ""Non-Veg"",""Specific Cuisine"": ""Western"",""Ingredients"": [""Carrots"", ""Flour"", ""Sugar"", ""Eggs"", ""Butter"", ""Spices""],""Preparation Time"": 40}"
Casseroles,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""French"",""Ingredients"": [""beef"", ""onions"", ""mushrooms"", ""tomato sauce"", ""pasta"", ""cheese""],""Preparation Time"": 40}"
Ceviche,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Peruvian"",""Ingredients"": [""raw fish"", ""onions"", ""garlic"", ""lemon juice"", ""salt"", ""pepper""],""Preparation Time"": 20}"
Cheese Balls,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""cheddar cheese"", ""butter"", ""flour"", ""paprika"", ""salt"", ""pepper""],""Preparation Time"": 20}"
Cheese Fondue,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Swiss"",""Ingredients"": [""Emmental cheese"", ""Gruyère cheese"", ""garlic"", ""dry white wine"", ""lemon juice"", ""black pepper""],""Preparation Time"": 20}"
Cheesecakes,"{""Dietary Category"": ""Non-Veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""Graham cracker crust"", ""Cream cheese"", ""Eggs"", ""Sugar"", ""Vanilla extract"", ""Butter""],""Preparation Time"": 45}"
Chef John,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""French"",""Ingredients"": [""duck breast"", ""butter"", ""thyme"", ""garlic"", ""salt"", ""pepper""],""Preparation Time"": 45}"
Cherry Pie,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""cherries"", ""flour"", ""sugar"", ""butter"", ""eggs"", ""milk"", ""salt"", ""vanilla extract""],""Preparation Time"": 40}"
Chess Pie,"{""Dietary Category"": ""Non-Veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""eggs"", ""sugar"", ""butter"", ""flour"", ""vinegar"", ""vanilla""],""Preparation Time"": 40}"
Chicken Adobo,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Filipino"",""Ingredients"": [""chicken"", ""vinegar"", ""soy sauce"", ""garlic"", ""bay leaves"", ""black pepper""],""Preparation Time"": 30}"
Chicken and Dumplings,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""chicken"", ""onions"", ""carrots"", ""celery"", ""flour"", ""butter"", ""all-purpose flour"", ""chicken broth"", ""milk"", ""egg"", ""salt"", ""black pepper""],""Preparation Time"": 40}"
Chicken Cacciatore,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Italian"",""Ingredients"": [""chicken"", ""onions"", ""bell peppers"", ""tomatoes"", ""mushrooms"", ""olive oil"", ""garlic"", ""white wine"", ""salt"", ""black pepper""],""Preparation Time"": 40}"
Chicken Cordon Bleu,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""French"",""Ingredients"": [""chicken breast"", ""ham"", ""butter"", ""mushrooms"", ""onion"", ""parsley"", ""salt"", ""pepper""],""Preparation Time"": 40}"
Chicken Marsala,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Italian"",""Ingredients"": [""chicken breast"", ""mushrooms"", ""marsala wine"", ""butter"", ""garlic"", ""thyme""],""Preparation Time"": 35}"
Chicken Noodle Soups,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""chicken"", ""noodles"", ""onions"", ""carrots"", ""celery"", ""salt"", ""pepper"", ""chicken broth""],""Preparation Time"": 30}"
Chicken Parmesan,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Italian"",""Ingredients"": [""chicken breast"", ""bread crumbs"", ""parmesan cheese"", ""tomato sauce"", ""mozzarella cheese"", ""basil"", ""olive oil"", ""salt"", ""pepper""],""Preparation Time"": 30}"
Chicken Piccata,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Italian"",""Ingredients"": [""chicken breast"", ""butter"", ""garlic"", ""lemon"", ""capppers"", ""white wine"", ""flour"", ""salt"", ""pepper""],""Preparation Time"": 25}"
Chicken Salads,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""chicken"", ""mayonnaise"", ""onions"", ""celery"", ""salt"", ""pepper""],""Preparation Time"": 20}"
Chicken Teriyaki,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Japanese"",""Ingredients"": [""chicken breast"", ""soy sauce"", ""sugar"", ""vinegar"", ""garlic"", ""ginger""],""Preparation Time"": 25}"
Chilaquiles,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""Mexican"",""Ingredients"": [""tortilla chips"", ""onions"", ""garlic"", ""tomatoes"", ""jalapenos"", ""cilantro"", ""lime juice"", ""salt"", ""pepper""],""Preparation Time"": 30}"
Chiles Rellenos,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Mexican"",""Ingredients"": [""roasted poblano peppers"", ""cheese"", ""meat"", ""tomatoes"", ""onions"", ""garlic"", ""cumin"", ""oregano""],""Preparation Time"": 40}"
Chili Recipes,"{""Dietary Category"": ""Non-Veg"",""Specific Cuisine"": ""Mexican"",""Ingredients"": [""Onion"", ""Garlic"", ""Ground Beef"", ""Tomato"", ""Chili Powder"", ""Cumin"", ""Paprika"", ""Salt"", ""Pepper"", ""Beans""],""Preparation Time"": 30}"
Chinese,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Chinese"",""Ingredients"": [""pork"", ""ginger"", ""garlic"", ""soy sauce"", ""scallions""],""Preparation Time"": 30}"
Chocolate Cakes,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""French"",""Ingredients"": [""flour"", ""sugar"", ""eggs"", ""cocoa powder"", ""butter""],""Preparation Time"": 40}"
Chocolate Chip Cookies,"{""Dietary Category"": ""Non-Veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""Butter"", ""Sugar"", ""Eggs"", ""Flour"", ""Chocolate Chips"", ""Vanilla Extract"", ""Salt"", ""Baking Soda""],""Preparation Time"": 20}"
Chocolate Fudge,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""chocolate"", ""sugar"", ""butter"", ""cream"", ""vanilla""],""Preparation Time"": 30}"
Chowders,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""clams"", ""potatoes"", ""onions"", ""celery"", ""carrots"", ""salt"", ""pepper"", ""cream""],""Preparation Time"": 40}"
Christmas,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Western"",""Ingredients"": [""Turkey"", ""Stuffing"", ""Cranberry Sauce"", ""Mashed Potatoes"", ""Gravy""],""Preparation Time"": 120}"
Christmas Cookies,"{""Dietary Category"": ""Non-Veg"",""Specific Cuisine"": ""Western"",""Ingredients"": [""Butter"", ""Sugar"", ""Eggs"", ""Flour"", ""Chocolate Chips"", ""Cinnamon"", ""Nutmeg""],""Preparation Time"": 30}"
Cinnamon Rolls,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Scandinavian"",""Ingredients"": [""yeast"", ""flour"", ""sugar"", ""butter"", ""cinnamon"", ""eggs"", ""milk""],""Preparation Time"": 40}"
Cobblers,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""peaches"", ""sugar"", ""flour"", ""butter"", ""eggs"", ""milk"", ""cinnamon"", ""nutmeg""],""Preparation Time"": 40}"
Cocktails,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""Vodka"", ""Rum"", ""Gin"", ""Tequila"", ""Triple Sec"", ""Lime Juice"", ""Coca-Cola"", ""Ginger Ale""],""Preparation Time"": 10}"
Coffee Cakes,"{""Dietary Category"": ""Non-Veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""flour"", ""sugar"", ""eggs"", ""butter"", ""milk"", ""coffee"", ""cinnamon"", ""vanilla extract""],""Preparation Time"": 35}"
Coleslaws,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""cabbage"", ""mayonnaise"", ""onion"", ""carrot"", ""vinegar"", ""sugar"", ""salt"", ""pepper""],""Preparation Time"": 20}"
Comfort Food,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""beef"", ""potatoes"", ""carrots"", ""onions"", ""peas"", ""flour"", ""butter"", ""milk""],""Preparation Time"": 40}"
Cookies,"{""Dietary Category"": ""Non-Veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""flour"", ""sugar"", ""butter"", ""eggs"", ""chocolate chips""],""Preparation Time"": 20}"
Cooking for a Crowd,"{""Dietary Category"": ""non-veg"", ""Specific Cuisine"": ""Mexican"", ""Ingredients"": [""chicken"", ""onion"", ""bell pepper"", ""tortilla"", ""cheese"", ""salsa""], ""Preparation Time"": 40}"
Cooking for One,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Italian"",""Ingredients"": [""pasta"", ""olive oil"", ""garlic"", ""chicken breast"", ""parmesan cheese"", ""basil""],""Preparation Time"": 25}"
Cooking for Two,"{""Dietary Category"": ""non-veg"", ""Specific Cuisine"": ""Italian"", ""Ingredients"": [""chicken breast"", ""basil"", ""garlic"", ""olive oil"", ""salt"", ""pepper""], ""Preparation Time"": 30}"
Copycat Recipes,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""chicken breast"", ""flour"", ""eggs"", ""breadcrumbs"", ""oil"", ""salt"", ""pepper""],""Preparation Time"": 30}"
Cornbread,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""cornmeal"", ""flour"", ""eggs"", ""butter"", ""milk"", ""honey"", ""salt"", ""baking soda""],""Preparation Time"": 35}"
Corned Beef,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Irish"",""Ingredients"": [""beef"", ""salt"", ""sugar"", ""pink curing salt"", ""black pepper"", ""pickling spices""],""Preparation Time"": 120}"
Crab Cakes,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""crab meat"", ""panko breadcrumbs"", ""mayonnaise"", ""onions"", ""bell peppers"", ""eggs"", ""old bay seasoning"", ""salt"", ""pepper""],""Preparation Time"": 20}"
Crackers,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""Western"",""Ingredients"": [""flour"", ""water"", ""salt"", ""yeast""],""Preparation Time"": 20}"
Cranberry Sauces,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""cranberries"", ""sugar"", ""water"", ""orange zest"", ""cinnamon""],""Preparation Time"": 20}"
Creme Brulee,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""French"",""Ingredients"": [""cream"", ""sugar"", ""eggs"", ""vanilla"", ""caramel""],""Preparation Time"": 30}"
Crisps and Crumbles,"{""Dietary Category"": ""Veg"",""Specific Cuisine"": ""British"",""Ingredients"": [""Potatoes"", ""Vegetable Oil"", ""Salt""],""Preparation Time"": 20}"
Cupcakes,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""flour"", ""sugar"", ""eggs"", ""butter"", ""milk"", ""vanilla extract""],""Preparation Time"": 25}"
Danishes,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Danish"",""Ingredients"": [""Butter"", ""Flour"", ""Eggs"", ""Milk"", ""Sugar"", ""Cream Cheese"", ""Fruit Preserves""],""Preparation Time"": 40}"
Desserts,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""French"",""Ingredients"": [""eggs"", ""sugar"", ""butter"", ""cream""],""Preparation Time"": 30}"
Deviled Eggs,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""eggs"", ""mayonnaise"", ""mustard"", ""salt"", ""pepper"", ""paprika""],""Preparation Time"": 20}"
Diabetic,"{""Dietary Category"": ""diabetic"",""Specific Cuisine"": ""Global"",""Ingredients"": [""fruits"", ""vegetables"", ""whole grains"", ""lean proteins""],""Preparation Time"": 20}"
Dinner,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Italian"",""Ingredients"": [""chicken"", ""onions"", ""garlic"", ""olive oil"", ""tomato sauce"", ""pasta""],""Preparation Time"": 30}"
Divinity,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""Greek"",""Ingredients"": [""honey"", ""nuts"", ""dried fruits""],""Preparation Time"": 20}"
Diwali,"{""Dietary Category"": ""veg"", ""Specific Cuisine"": ""Indian"", ""Ingredients"": [""ghee"", ""flour"", ""sugar"", ""cardamom"", ""nuts""], ""Preparation Time"": 30}"
Doughnuts,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""flour"", ""sugar"", ""eggs"", ""butter"", ""milk"", ""yeast""],""Preparation Time"": 45}"
Drop Cookies,"{""Dietary Category"": ""Non-Veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""Butter"", ""Sugar"", ""Eggs"", ""Flour"", ""Chocolate Chips"", ""Vanilla Extract""],""Preparation Time"": 20}"
Dumplings,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Chinese"",""Ingredients"": [""pork"", ""chives"", ""ginger"", ""soy sauce"", ""wheat flour"", ""water""],""Preparation Time"": 30}"
Easter,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Western"",""Ingredients"": [""eggs"", ""sugar"", ""butter"", ""flour"", ""milk"", ""food coloring""],""Preparation Time"": 30}"
Egg Rolls,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Chinese"",""Ingredients"": [""pork"", ""shrimp"", ""vegetables"", ""soy sauce"", ""wheat flour""],""Preparation Time"": 20}"
Egg Salads,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""eggs"", ""mayonnaise"", ""mustard"", ""onions"", ""salt"", ""pepper""],""Preparation Time"": 20}"
Eggnog,"{""Dietary Category"": ""Non-Veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""Milk"", ""Cream"", ""Sugar"", ""Eggs"", ""Nutmeg"", ""Cinnamon""],""Preparation Time"": 20}"
Eggplant Parmesan,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Italian"",""Ingredients"": [""eggplant"", ""parmesan cheese"", ""tomato sauce"", ""olive oil"", ""garlic"", ""basil"", ""salt"", ""pepper""],""Preparation Time"": 40}"
Empanadas,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Latin American"",""Ingredients"": [""beef"", ""onions"", ""garlic"", ""cumin"", ""paprika"", ""salt"", ""pepper"", ""flour"", ""eggs"", ""butter""],""Preparation Time"": 40}"
Enchiladas,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Mexican"",""Ingredients"": [""tortillas"", ""chicken"", ""onion"", ""garlic"", ""tomato sauce"", ""cheese"", ""beans""],""Preparation Time"": 30}"
Energy Balls,"{""Dietary Category"": ""Veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""Oats"", ""Peanut Butter"", ""Honey"", ""Chocolate Chips"", ""Coconut Flakes""],""Preparation Time"": 20}"
English Muffins,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""flour"", ""yeast"", ""salt"", ""sugar"", ""eggs"", ""butter"", ""milk""],""Preparation Time"": 25}"
Etouffee,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Louisiana Creole"",""Ingredients"": [""shrimp"", ""onions"", ""bell peppers"", ""celery"", ""garlic"", ""paprika"", ""cayenne pepper"", ""thyme"", ""bay leaves"", ""flour"", ""butter"", ""all-purpose flour""],""Preparation Time"": 40}"
Fajitas,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Mexican"",""Ingredients"": [""chicken"", ""onions"", ""bell peppers"", ""tortillas"", ""garlic"", ""cumin"", ""chili powder"", ""salt"", ""pepper""],""Preparation Time"": 25}"
Falafel,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""Middle Eastern"",""Ingredients"": [""chickpeas"", ""onions"", ""garlic"", ""parsley"", ""cumin"", ""coriander"", ""paprika"", ""salt"", ""pepper""],""Preparation Time"": 30}"
Father's Day,"{""Dietary Category"": ""non-veg"", ""Specific Cuisine"": ""American"", ""Ingredients"": [""grilled steak"", ""mushrooms"", ""onions"", ""garlic"", ""butter""], ""Preparation Time"": 40}"
Fettuccini,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Italian"",""Ingredients"": [""fettuccini"", ""parmesan cheese"", ""eggs"", ""butter"", ""cream"", ""garlic"", ""parsley""],""Preparation Time"": 25}"
Filet Mignon,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""French"",""Ingredients"": [""beef tenderloin"", ""butter"", ""garlic"", ""thyme"", ""salt"", ""pepper""],""Preparation Time"": 30}"
Flan,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Spanish"",""Ingredients"": [""caramel"", ""eggs"", ""cream"", ""sugar"", ""vanilla""],""Preparation Time"": 40}"
Flank Steak,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""flank steak"", ""olive oil"", ""garlic"", ""salt"", ""black pepper""],""Preparation Time"": 30}"
Flat Iron Steak,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""steak"", ""olive oil"", ""garlic"", ""thyme"", ""salt"", ""pepper""],""Preparation Time"": 30}"
